Name,by,Substack URL,X URL
Cubic Analytics,Caleb Franzen,https://cubicanalytics.substack.com/,https://x.com/CalebFranzen
DA's and CPAs,Matt Maraia,https://mattmaraia.substack.com/,https://x.com/iZamboni
Decentral Park Research,Kelly Ye ,https://decentralparkcapital.substack.com/,https://x.com/DPCio
Token Tuesdays,Coopahtroopa,https://tokentuesdays.substack.com/,https://x.com/Cooopahtroopa
Defiprime Newsletter,defiprime,https://defiprime.substack.com/,https://x.com/defiprime
DeFiPrincess’ Letters,DeFiPrincess ,https://defiprincess.substack.com/,https://x.com/defiprincess_
Strong As An Ox,BowTiedOx ,www.bowtiedox.io/ ,https://x.com/BowTiedOx
,,,
Web3 Growth by Intract,Intract ,https://www.blogs.intract.io/,https://x.com/IntractBuzz
Web3 Legal Commentary,Max Burwick,https://maxburwick.substack.com/,https://x.com/burwick_max
The Credit Writedowns Newsletter,Edward Harrison,,
Web3Brand | 做全球化时代的超级个体,starzq,https://www.web3brand.io/,https://x.com/starzqeth
zkApe,zkApe,https://zkape.substack.com/,
The Daily Bolt by Revelo Intel,Daniel Napier ,https://revelointel.substack.com/,https://x.com/ReveloIntel
The Bitstein Brief,Michael Goldstein,https://bitstein.substack.com/,
The Cryptonite Weekly Rap,Anthony Perkins,https://cryptoniteventures.substack.com/,https://x.com/CryptoniteRap
The CryptRowe Newsletter,Matt Rowe,https://cryptrowe.substack.com/,https://x.com/mattrowsboats
Macrolens,Brian Mccarthy,https://macrolens.substack.com/,https://x.com/briangobosox
OnlyQuants - Algorithmic Trading Strategies,OnlyQuants - AlgoTrading ,https://onlyquants.substack.com/,https://x.com/onlyquants
Prometheus Research,Prometheus Research,https://prometheusresearch.substack.com/,https://x.com/prometheusmacro
The Thinking Crypto Report,Thinking Crypto Podcast ,https://thinkingcrypto.substack.com/,https://x.com/ThinkingCrypto1
Trading Engineered from TraderLion,Richard Moglen,https://tradingengineered.substack.com/,https://x.com/RichardMoglen
Blue Collar Blockchain ,Blue Collar Blockchain ,https://bluecollarblockchain.substack.com/,
Chain Reaction,Chain Reaction,https://chainr3action.substack.com/,https://x.com/chainreactioni0
Checkonchain Newsletter,James Check (Checkmatey),https://newsletter.checkonchain.com/,https://x.com/_Checkmatey_
Blockchain From First Principle,Filip Novakovic ,https://blockchainfromfirstprinciple.substack.com/,
BlockchainAsia,Coco Kee ,https://blockchainasia.substack.com/,https://x.com/keeglobal
Can Do,Alina Okun,https://alinaokun.substack.com/,
ChainML,ChainML,https://chainml.substack.com/archive,
coinfam,Aditya (dwivediji.eth) ,https://coinfam.substack.com/,
Complexity Condensed,Louis Pereira ,https://www.complexitycondensed.com/,
Dark Markets,David Z. Morris,https://davidzmorris.substack.com/,https://x.com/davidzmorris
FX Macro,FXMacroGuy,https://www.fxmacro.info/,
Hashed Open Dialogue for Law,HODL,https://hashedhodl.substack.com/,https://x.com/Hashedem
Letters from a Zeneca,Zeneca ,https://zeneca33.substack.com/,https://x.com/Zeneca_33
Leviathan News - The Tentacle,Leviathan News ,https://leviathannews.substack.com/,https://x.com/leviathan_news
Linas's Newsletter,Linas Beliūnas,https://linas.substack.com/,https://x.com/linasbeliunas
Macro4Micro,Glenn Reynolds,https://www.macro4micro.com/,
Morning Minute,Lucky Trader,https://newsletter.luckytrader.com/,https://x.com/LuckyTraderHQ
mrgn. ,Anders ,https://mrgn.substack.com/,https://x.com/ponzirespecter
"Newsletter by Developer Studio, Polygon Labs",Developer Studio,https://polygondeveloperstudio.substack.com/,
Not Investing Advice,Anthony Lee Zhang,https://anthonyleezhang.substack.com/,
Ordinals' Substack,Ordinals Global,https://ordinalsglobal.substack.com/,https://x.com/OrdinalsGlobal_
Ouroboros’s Substack,Ouroboros Capital ,https://ouroborosresearch.substack.com/,https://x.com/OuroborosCap8
Pine’s Substack,Pine Analytics ,https://pineanalytics.substack.com/,https://x.com/PineAnalytics
Pyth2,The Pyth Network Newsletter,https://pyth.substack.com/,
Racing Crypto Club,Finish 🏁 ,https://0xfinish.substack.com/,https://x.com/0xFinish
Reflexivity Round-Up,Reflexivity Research ,https://reflexivityresearch.substack.com/,https://x.com/reflexivityres
RxR Research,RxR,https://rxrreserach.substack.com/,
TangChan’s Garage,TangChan,https://tangchan.substack.com/,https://x.com/TangChan0x
The Axial Studio,Andrew Chang,https://theaxialstudio.substack.com/,
The Lumos Meta-letter 💌,BUIDL.so,https://lumosmetaverse.substack.com/,
The Non-Economist,The Non-Economist ,https://thenoneconomist.substack.com/,https://x.com/non_economist
The Summer of Bitcoin Experience,Summer of Bitcoin ,https://summerofbitcoin.substack.com/,
THORWallet DEX,THORWallet ,https://thorwallet.substack.com/,https://x.com/THORWalletDEX
Voynich's Adventure,Voynich's Adventure ,https://voynichsadventure.substack.com/,https://x.com/v_theyounger
Web3 Infrastructure VC Funding Insights,Web3 VC Funding Insights,https://mtavers.substack.com/,
Web3PMs,Web3PMs ,https://web3pms.substack.com/,
What's Up BLR!,BLRxZo,https://blrxzo.substack.com/,
Xenophon's Lab,Xenophon Labs,https://xenophonlabs.substack.com/,
Connecting the dots in Payments,Marcel van Oost,https://payments1connectingthedots.substack.com/,https://x.com/oost_marcel
Cointribune,Luc José ,https://newsletter-en.cointribune.com/,https://x.com/CoinTribuneFR
Fix the money.,Niko Jilch,https://www.fixthemoney.net/,https://x.com/nikojilch
Hyperithm Research Blog,Hyperithm,https://hyperithm.substack.com/,https://x.com/hyperithm
K-Capital newsletter,Alex Green ,https://kcapital.substack.com/,https://x.com/K__Capital
Mike McCoy,Mike McCoy ,https://mikemccoy.substack.com/,https://x.com/emceecoy_
NotCryptoBro's Memo,Rohan Handa ,https://notcryptobro.substack.com/,https://x.com/NotCryptoBro
on xyz,caitlin pintavorn,https://onxyz.substack.com/,https://x.com/caitlinxyz
On-Chain Insights, Leon Waidmann ,https://leonwaidmann.substack.com/,
OnAnalytics,OnAnalytics ,https://oscarquiroga.substack.com/,https://x.com/piloniet
One Click Crypto,One Click Crypto ,https://oneclickcrypto.substack.com/,https://x.com/oneclickcrypto
Stay up to date on DeFi & Velvet,Velvet.Capital ,https://blog.velvet.capital/,https://x.com/Velvet_Capital
Stuffed Blocks,Tony Sheng,https://tonysheng.substack.com/,
DAOmeter Digest,StableLab,https://daometer.substack.com/,
dGen Network,,https://dgennetwork.substack.com/,
Equinox Edge | Nibiru Chain Newsletter,Unique Divine,https://nibiruchain.substack.com/,
Web3 Python Weekly,Head Snake,https://pythonweekly.substack.com/,
Fuerte finance,fuerte,https://fuerte.substack.com/,
Levels of Wealth Blog,Taylor,https://levelsofwealth.substack.com/,https://x.com/taylorawelch
Epic Web3,Epic Web3,https://epicweb3.substack.com/,https://x.com/epicweb3
DIVE INTO CRYPTO,Lawrence,https://diveintocrypto.xyz/,https://x.com/lawrence_crypt
Degenz Crypto/NFT Morning Update,,https://degenz.substack.com/,https://x.com/degenzNFT
CryptoGucci’s Newsletter,CryptoGucci,https://cryptogucci.substack.com/,https://x.com/CryptoGucci
Bspeak! - Cryptocurrency/Blockchain,TheCoffeeTimes ☕,https://www.bspeak.xyz/,https://x.com/CoffeeTimesTW
Jay’s Substack,Jay,https://www.jaypeg.me/,https://x.com/0xjaypeg
LayerX AI・LLM Newsletter,th_sat ,https://layerxnews.substack.com/,https://x.com/th_sat
Swagtimus.eth🦇🔊L2'22’s Newsletter,Swagtimus.eth🦇🔊L2'22,https://swagtimus.substack.com/,
synschismo research,synschismo research,https://newsletter.synschismo.com/,https://x.com/synschismo
Sporting Crypto,,https://newsletter.sportingcrypto.com/,https://x.com/_SportingCrypto
OurNetwork.xyz - Onchain Research Platform,Spencer Noon,https://www.ournetwork.xyz/,https://x.com/ournetwork__
One Big Idea,austin,https://austinhurwitz.substack.com/,https://x.com/austin_hurwitz
Web3 Academy,Web3 Academy,https://newsletter.w3academy.io/,https://x.com/KyleReidhead
"Daily Crypto News Virtual Currency, Blockchain, NFT, DeFi",nobumei,https://nobumei.substack.com/,https://x.com/nobu_mei
Daily Web3,Sheep@DailyWeb3 ,https://dailyweb3.substack.com/,https://x.com/dailyweb3
Weekly Recap on the Crypto ecosystem,th_sat,https://thsatcrypto.substack.com/,
web3 Research SPAIN,mitsui,https://www.spain.web3research.io/,https://x.com/koheimitsui_
Emoote,https://substack.com/@emoote?utm_source=about-page,https://emoote.substack.com/,https://x.com/emoote_
oneseep Newsletter,Sai,https://oneseep.substack.com/,https://x.com/harukatarotaro
Web3 Times Magazine: Pig Cafe Manager's Newsletter,Shoji @Web3Times Editor-in-Chief,https://web30times.substack.com/,https://x.com/yuichiro0802
Yamakuro-chan's email newsletter 🧬🌸,Yamakurochan🧬🌸,https://yamakuro.substack.com/,
_Unit Testing,Rand Hindi ,https://randhindi.substack.com/,https://twitter.com/randhindi
@mhonkasalo,mhonkasalo,https://mhonkasalo.substack.com/,https://twitter.com/mhonkasalo
🌊Newsletter for creators who want to ride the wave of the next trend,Kuromasuo🇺🇸NEXT NOW,https://kuromasuonftletter.substack.com/,https://x.com/kuromasuo
🧠 2nd Brain VC,Julien I 2nd Brain VC ,https://2ndbrainvc.substack.com/,
0xfearsomelamb’s Newsletter,0xfearsomelamb,https://0xfearsomelamb.substack.com/,
0xKyle's Research,0xKyle,https://0xkyle.substack.com/,https://twitter.com/0xkyle__
0xStacker's Newsletter,Sistine Research,https://cryptostackers.substack.com/,
0xYakitori’s Delirium,,https://0xyakitori.substack.com/,
1confirmation Newsletter,https://1confirmation.substack.com/,https://1confirmation.substack.com/,
2lambroz.eth’s Substack,https://2lambroz.substack.com/,https://2lambroz.substack.com/,https://twitter.com/2lambro
5 Points,Sam Haskell,https://fivepoint.substack.com/,
10x Research,10x Research,https://post.10xresearch.co/,https://twitter.com/10x_Research
10x Research Market Updates,10x Research,https://post.10xresearch.co/,https://x.com/10x_Research
"30,000 Feet",Andrew Beal ,https://30000feet.substack.com/,https://twitter.com/ajbeal
A slight airdrop of alpha,Mingo Airdrop,https://mingoairdrop.substack.com/,https://twitter.com/MingoAirdrop
Aave,Aave,https://aave.substack.com/,https://twitter.com/aave
AdamSCochran,Thoughts from Adam Cochran,https://adamscochran.substack.com/,https://twitter.com/adamscochran
Airdrop Alpha by DeFi Trader,DeFiTrader,https://alphaleak.substack.com/,
AKIRA’s Newsletter,AKIRA ,https://akirablog.substack.com/,https://x.com/akira_enliber
Alex Danco’s Newsletter,Alex Danco,https://danco.substack.com/,https://twitter.com/Alex_Danco
All About Trading!,Sofien Kaabar,https://abouttrading.substack.com/,https://twitter.com/kaabar_sofien
All things fuzzy,Antonio Viggiano,https://allthingsfuzzy.substack.com/,https://twitter.com/agfviggiano
Alpha Alarm,Nick Chong ,https://alphaalarm.substack.com/,
Alpha Alarm | Powered by Covalent,,https://alphaalarmhq.substack.com/,https://x.com/AlphaAlarm_HQ
Alpha Made Here,Alpha Made Here,https://alphamadehere.substack.com/, https://x.com/DeFi_Made_Here
Alpha Mail,Alpha Mail,https://getalphamail.substack.com/,
alpha please,Aylo,https://www.alphaplease.com/,https://twitter.com/alpha_pls
Alpha Rush,Alpha Rush,https://alpharush.substack.com/,
AlphaGrowth’s Newsletter,Michael,https://alphagrowth.substack.com/,https://twitter.com/alphagrowth1
https://benlakoff.substack.com/,Ben Lakoff ,https://benlakoff.substack.com/,https://twitter.com/benlakoff
Altcoin Cheat Sheet by Mehdi Farooq,Mehdi Farooq,https://mehdifarooq.substack.com/,
Altcoin Investing Picks,The Altcoin Investor,https://www.altcoininvesting.co/,https://x.com/altcoinvesting
Aludra Newsletter,https://aludra.substack.com/,https://aludra.substack.com/,
Amber Labs,Steven Shi ,https://amberlabs.substack.com/,https://x.com/skatensurf_
Amberdata Derivatives,@g_vol,https://amberdataderivatives.substack.com/,https://x.com/genesisvol
Amentum Capital,Amentum Newsletter,https://amentum.substack.com/,
Ampleforth,Matthew,https://matthewa58.substack.com/,
An Economic Pattern Language,Oliver Beige,https://econpatterns.substack.com/,https://twitter.com/oliverbeige
Andy’s Alpha,Andy,https://ayyyeandy.substack.com/,https://twitter.com/ayyyeandy
Another Day in Crypto,DeFi Advisoor,https://defiadvisoor.substack.com/,https://twitter.com/DAdvisoor
Ansem’s Newsletter,,https://blknoiz06.substack.com/,
Antalpha Labs,Antalpha Labs,https://antalphalabs.substack.com/,https://twitter.com/Antalpha_Labs
Aptos Sonar Newsletter,Aptos Sonar ,https://aptossonar.substack.com/,
Aragon Network,Aragon,https://aragon.substack.com/,https://twitter.com/AragonProject
Arbitrum DAO News,Arbitrum DAO News ,arbitrumdaonews.substack.com,https://twitter.com/ArbitrumNewsDAO
Arete Research,McKenna,https://areteresearch.substack.com/,https://twitter.com/Crypto_McKenna
Arnav’s Writings,Arnav Pagidyala,https://arnavpagidyala.substack.com/archive,
Artemis Big Fundamentals in Crypto,Jon Ma ,https://research.artemis.xyz/,https://x.com/Artemis__xyz
ASXN,ASXN,https://newsletter.asxn.xyz/,https://twitter.com/asxn_r
Average - This Week,Dystopia Labs,https://dystopialabs.substack.com/,
Balajis.com,Balaji,https://balajis.com/,https://twitter.com/balajis?ref=balajis.ghost.io
Bankless DAO,Bankless,https://banklessdao.substack.com/,https://twitter.com/banklessDAO
Bear Market Apes,Bear Market Apes ,https://cryptoalphaalert.substack.com/,https://twitter.com/BearMarketApes
BEEFCOIN,Joe Rodgers,https://beefcoin.substack.com/,https://twitter.com/_beefcoin
Beyond Web3 ,Arhat Bhagwatkar,https://beyondweb3.substack.com/,https://twitter.com/0xArhat
Bismarck Brief,Samo Burja,https://brief.bismarckanalysis.com/,https://twitter.com/bismarckanlys
Bitcoin archive,Bitcoin archive,https://bitcoinarchive.substack.com/,https://twitter.com/BTC_Archive
Bitcoin Design Community Update,Christoph Ono,https://bitcoindesign.substack.com/,https://twitter.com/GBKS
Bitcoin Magazine Pro™,Bitcoin Magazine Pro,https://bmpro.substack.com/,https://twitter.com/BitcoinMagPro
Blockcrunch VIP,Blockcrunch VIP,https://blockcrunch.substack.com/,https://twitter.com/theBlockcrunch
Blockware Intelligence Newsletter,Blockware,https://newsletter.blockwareintelligence.com/,https://twitter.com/blockwareteam
Boardroom,Boardroom,https://governance.substack.com/,https://twitter.com/boardroom_info
"Bobrowsky Newsletter: AI, Tech, Finance & Life",Josh Bobrowsky,https://bobrowsky.substack.com/,https://x.com/JoshBobrowsky
BowTied Biohacking,BowTied Biohacker,https://bowtiedbiohacker.com/,https://twitter.com/BowTiedUM
BowTiedBull,BowTied Bull,https://bowtiedbull.io/,https://twitter.com/BowTiedBull
BowTiedPickle’s Pickle Jar,BowTiedPickle ,https://bowtiedpickle.substack.com/,https://twitter.com/BowTiedPickle
Brukhman on Blockchain,Jake Brukhman,https://brukhman.substack.com/,
Buffalu’s Substack,Lucas Bruder,https://buffalu.substack.com/,https://twitter.com/buffalu__
ByteByteGo,ByteByteGo,https://blog.bytebytego.com/,https://twitter.com/bytebytego
Calc’s Substack,Calc,https://calc.substack.com/,
Carbono Insights,Carbono,https://carbono.substack.com/,https://twitter.com/carbono_com
CARV,CARV,https://newsletter.carv.io/,https://twitter.com/carv_official
Cashless,Rich Turrin,https://richturrin.substack.com/,https://twitter.com/richardturrin
cdixon,cdixon,https://cdixon.substack.com/,https://twitter.com/cdixon
Certora’s Newsletter,Certora ,https://certoranews.substack.com/,
Ceteris Paribus,michaellwy,https://michaellwy.substack.com/,https://twitter.com/michael_lwy
Chainbase,Chainbase,https://chainbase.substack.com/,
Charlie Edwards,CharlieIDT,https://pixelink.substack.com/,https://twitter.com/CharlieIDT
Chop’s Crypto,Chop,https://chopcrypto.substack.com/,
Christopher’s Substack,Christopher Kaczmarczyk-Smith,https://chriseconomics.substack.com/,https://twitter.com/Chris_Economics
CleanCoin,Ubaid,https://cleancoin.substack.com/,
Cobie,Cobie,https://cobie.substack.com/,https://twitter.com/cobie
Coin Center,Coin Center,https://www.newsletter.coincenter.org/,https://twitter.com/coincenter
Coin Metrics' State of the Network,Matias Andrade,https://coinmetrics.substack.com/,https://twitter.com/matiasandroid_
CoinSheet,Dmitriy,https://coinsheet.substack.com/,https://twitter.com/Dmitriysz
Coinstack,Ryan Allis ,https://coinstack.substack.com/,https://twitter.com/coinstackcrypto
Conelink,Conelink,https://conelink.substack.com/,https://twitter.com/cone_link
Consumer Startups,Leo Luo,https://www.consumerstartups.com/,https://twitter.com/B2Cstartups
Conversations,Romain Figuerero,https://figue.substack.com/,
Crab Notes,lobsterdao,https://lobsters.substack.com/,https://twitter.com/10b57e6da0
Creating Value from Nothing,George Markoulakis,https://creatingvalue.substack.com/,https://twitter.com/bolu
Credo,Credo,https://credov.substack.com/,https://twitter.com/Credo__V
crv.mktcap.eth,Keep Ahead of the Curve,https://curve.substack.com/,https://twitter.com/CurveCap
Cryptechie,Nakul Gupta ,https://www.cryptechie.com/,
Cryptex Finance Weekly Newsletter,,https://cryptex.substack.com/,
Crypto Data Bytes,Crypto Data Bytes,https://read.cryptodatabytes.com/,https://twitter.com/cryptodatabytes
Crypto is Easy: Insights for Profitable Investors,,https://cryptoiseasy.substack.com/,
Crypto is Macro now,Noelle Acheson,https://noelleacheson.substack.com/,https://twitter.com/NoelleInMadrid
Crypto Jeter,Austin Jeter,https://cryptojeter.substack.com/,https://twitter.com/CryptoJeter
Crypto Koryo’s Substack,https://cryptokoryo.substack.com/,https://cryptokoryo.substack.com/,https://twitter.com/CryptoKoryo
Crypto Market Frameworks,0xHamZ,https://0xhamz.substack.com/,https://twitter.com/0xHamz___
Crypto Marketing Hacks,DOT Ads,https://blog.dotaudiences.com/?utm_source=homepage_recommendations&utm_campaign=888194,https://twitter.com/dotaudiences
Crypto Monkey Blog,Katja,https://cryptomonkeyblog.substack.com/,
Crypto Narratives,Viktor,https://cryptonarratives.substack.com/,https://twitter.com/thedefivillain
Crypto Pragmatist by M6 Labs,M6 Labs,https://momentum6.substack.com/,
Crypto Profits,Rohas Nagpal,https://cryptoprofits.substack.com/,https://twitter.com/rohasnagpal
Crypto Stoics,Crypto Gideon ,https://cryptostoics.substack.com/,https://twitter.com/CryptoGideon_
Crypto Trader Digest,Arthur Hayes,https://cryptohayes.substack.com/,https://twitter.com/CryptoHayes
Crypto Yusaku’s Newslettr,Crypto Yusaku,https://cryptoyusaku.substack.com/,https://twitter.com/YusakuCrypto
"Crypto, Distilled Pro","Crypto, Distilled ",https://cryptodistilledpro.substack.com/,https://twitter.com/DistilledCrypto
crypto4.wtf,Crypto4.wtf,https://crypto4.wtf/,https://twitter.com/HanyangWang
Cryptocurrency and Friends,Patrick McCorry ,https://www.cryptofrens.info/,https://x.com/stonecoldpat0
Cryptocurrency Jobs,Daniel,https://cryptocurrencyjobs.substack.com/,https://twitter.com/jobsincrypto
CryptoSlate,CryptoSlate,https://cryptoslate.substack.com/,https://twitter.com/CryptoSlate
cryptostaker,cryptostaker,https://cryptostaker.substack.com/,https://twitter.com/cryptostaker22
Dappland: Last week in Starknet,Dappland,https://newsletter.dappland.com/,https://twitter.com/dapp_land
Datamcrypto’s Newsletter,Datamcrypto,https://datamcrypto.substack.com/,https://twitter.com/Datamcrypto
Dave’s Newsletter,davethewave,https://davethewave.substack.com/,https://twitter.com/davthewave
David’s Newsletter,David Barreto,https://dbarreto.substack.com/,https://twitter.com/barretodavid
debt DAO's Biweekly updates,Debt DAO ,https://debtdao.substack.com/,
Decentralised.co,"Saurabh, Joel John and Siddharth",https://www.decentralised.co/,https://twitter.com/Decentralisedco
DeepFiValue,Avraham Eisenberg,https://deepfivalue.substack.com/,https://twitter.com/avi_eisen
DeFi Education,DeFi Education,https://defieducation.substack.com/,https://twitter.com/BowTiedBull
DeFi HacLabs,Sunweb3sec,https://defihacklabs.substack.com/,https://twitter.com/1nf0s3cpt
Defi in Ether,sshshln,https://defiinether.substack.com/,https://twitter.com/sshshln
DeFi Jangle,Jangle,https://defijangle.substack.com/,https://twitter.com/defi_jangle
DeFi Pulse Farmer,DeFi Pulse,https://yieldfarmer.substack.com/,
DeFi Tutorials,Nodar,https://defitutorials.substack.com/,https://twitter.com/NodarJ
DeFiHackLabs’s Substack,SunWeb3Sec,https://defihacklabs.substack.com/,https://twitter.com/1nf0s3cpt
DefiMastery’s Substack,Defi Wanderer,https://defimastery.substack.com/,
Degen Code,BowTiedDevil,https://www.degencode.com/,https://twitter.com/BowTiedDevil
Dematerializd,Marc Baumann,https://www.dematerialzd.xyz/?utm_source=homepage_recommendations&utm_campaign=888194,https://twitter.com/marcb_xyz
Dematerializd - Web3 for Business,Marc Baumann,https://www.dematerialzd.xyz/,https://twitter.com/marcb_xyz
DigitalOil,0xDigitalOil ,https://0xdigitaloil.substack.com/,
Digitized by Collab+Currency,Collab,https://ccdigitized.substack.com/,https://twitter.com/digitizedweekly
Dirt Roads,Luca Prosperi,https://dirtroads.substack.com/,https://twitter.com/LucaProsperi
Dissecting DeFi Protocols,0xkowloon,https://0xkowloon.substack.com/,https://twitter.com/0xkowloon
Distributed Research,Muhammad Yusuf,https://distributedresearch.substack.com/,https://twitter.com/yusufxzy
Dot Leap,,https://w3f.substack.com/,
Dove Dispatch,Pierre Chuzeville ,https://dovemountain.substack.com/,
Dreams of Electric Sheep,Anirudh Pal,https://electricsheep.substack.com/,https://twitter.com/ani_pai
Drunk on DeFi,Deebs DeFi,https://deebsdefi.substack.com/,https://twitter.com/Deebs_DeFi
Dune Digest,Dune,https://dunedigest.substack.com/,https://twitter.com/DuneAnalytics
Dynamo DeFi,Dynamo,https://dynamodefi.substack.com/,https://twitter.com/Dynamo_Patrick
Ecoinometrics,Ecoinometrics,https://ecoinometrics.substack.com/,https://twitter.com/ecoinometrics
Economics Design,Lisa JY Tan,https://www.newsletter.economicsdesign.com/,https://twitter.com/lisajytan
Eda's Substack,Eda,https://edatweets.substack.com/,https://twitter.com/edatweets_
Edmund’s GameFi,Edmund Tong,https://edmundtong.substack.com/,
Elad Blog,Elad Gil,https://blog.eladgil.com/,https://twitter.com/eladgil
Espresso,Espresso,https://jarvislabs.substack.com/,https://twitter.com/MrBenLilly
Exponential View,Azeem Azhar,https://www.exponentialview.co/,https://twitter.com/azeem
Factor Academy,Factor DAO,https://factordao.substack.com/,https://twitter.com/FactorDAO
Fairyproof,Fairyproof,https://fairyproof.substack.com/,https://twitter.com/FairyproofT
Farming for Lunch Money with YJN58,Yohaan John Neroth ,https://yjn58.substack.com/,
Fintech Brain Food,Simon Taylor,https://sytaylor.substack.com/,https://twitter.com/sytaylor
Fintech Business Weekly,Jason Mikula,https://fintechbusinessweekly.substack.com/,https://twitter.com/mikulaja
fintech takes,fintech takes,https://newsletter.fintechtakes.com/,https://twitter.com/FintechTakes
fintech_devs Newsletter,fintech_devs,https://fintechdevs.substack.com/,
First 1000,Ali Abouelatta,https://read.first1000.co/,https://twitter.com/abouelatta_ali
Flowverse,Flowverse,https://flowverse.substack.com/,https://twitter.com/flowverse_
fortiq,fortiq,https://fortyiq.substack.com/,https://twitter.com/fortyiq
FounDAOtion,FounDAOtion,https://rarifoundation.substack.com/,https://twitter.com/rarifoundation
FREE GAME,dan,https://danuptop.substack.com/,https://twitter.com/dan_uptop
From PhD Research in DeFi,Krzysztof Gogol,https://gogol.substack.com/,https://twitter.com/krzysgogol
Frost Byte,Ellie Frost,https://frostbyte.substack.com/,https://twitter.com/EllieFrost
Gaming Chronicles,Raiden,https://www.ggchronicles.com/,https://twitter.com/ggchronicles_
"Genuine Impact - Charting Finance, Investing & Tech",Genuine Impact ,https://genuineimpact.substack.com/,https://twitter.com/genuine_impact
gm gamers,Apix,https://gmgamers.substack.com/,https://twitter.com/apixtwts
GMX News,GMX,https://gmxio.substack.com/,https://twitter.com/GMX_IO
Godwoken’s Newsletter,godwoken,https://godwoken.substack.com/,https://twitter.com/GodwokenRises
Gokhshtein Unfiltered,David Gokhsthein,https://gokhshtein.substack.com/,https://twitter.com/davidgokhshtein
Goldfinch,Goldfinch,https://goldfinch.substack.com/,https://twitter.com/goldfinch_fi
Governors,Nick Narghi,https://governors.substack.com/,https://twitter.com/0xNN2
grace’s Substack,grace deng,https://gracedeng.substack.com/,
Growing Web3 by Safary,Safary Club,https://blog.safary.club/p/reinventing-community-led-growth,https://twitter.com/jkey_eth
handle.fi,handle.fi,https://blog.handle.fi/,https://twitter.com/handle_fi
HangukQuant,HangukQuant,https://hangukquant.substack.com/,https://twitter.com/HangukQuant
HashingBits,QuillAudits,https://www.newsletter.quillaudits.com/,https://twitter.com/QuillAudits
https://hfaresearch.substack.com/,Taiki Maeda,https://hfaresearch.substack.com/,https://twitter.com/TaikiMaeda2
High Frequency,NOISE DAO ,https://noisedao.substack.com/,
Hornbull | Substack,Shuvam ,https://hornbull.substack.com/,
Houck’s Newsletter,Michael Houck,https://www.houcksnewsletter.co/,https://twitter.com/callmehouck
Identosphere,IdentityWoman,https://identospherebcb.substack.com/,https://twitter.com/IdentityWoman
Ignas,DeFi Research,https://www.ignasdefi.com/,https://twitter.com/DefiIgnas
In Deep Water,sealaunch ,https://sealaunch.substack.com/,https://twitter.com/SeaLaunch_
"In the future, everyone will be famous for 15Mb",David G.W. Birch,https://dgwbirch.substack.com/,https://twitter.com/dgwbirch
